open,high,low,close,volume,closeTime
0.19943,0.19967,0.19915,0.19936,90625,1759125899999
0.19931,0.20116,0.1993,0.20051,455339,1759125959999
0.20049,0.20141,0.20035,0.20088,146501,1759126019999
0.20087,0.2014,0.20041,0.20047,196210,1759126079999
0.20042,0.20042,0.20001,0.2004,73231,1759126139999
0.2004,0.20144,0.20025,0.20116,185855,1759126199999
0.20114,0.2013,0.20006,0.20006,196608,1759126259999
0.20004,0.20004,0.1992,0.19927,209800,1759126319999
0.19936,0.19993,0.19916,0.19976,133249,1759126379999
0.19986,0.20105,0.19984,0.20007,246614,1759126439999
0.20006,0.20062,0.19997,0.20059,132376,1759126499999
0.2006,0.201,0.19984,0.19984,186150,1759126559999
0.19987,0.19987,0.19884,0.19884,150336,1759126619999
0.19899,0.19909,0.1982,0.19821,129125,1759126679999
0.19821,0.19826,0.19754,0.19758,162631,1759126739999
0.19768,0.19881,0.19718,0.19873,305221,1759126799999
0.19873,0.19962,0.19871,0.19954,126971,1759126859999
0.19945,0.20047,0.19915,0.20038,145413,1759126919999
0.20037,0.20057,0.19998,0.20041,179261,1759126979999
0.20051,0.2006,0.19965,0.1999,99125,1759127039999
0.19992,0.20016,0.19915,0.19934,164550,1759127099999
0.19935,0.19998,0.19925,0.19937,166489,1759127159999
0.19937,0.19997,0.19917,0.19995,101722,1759127219999
0.19996,0.2001,0.19896,0.19997,254546,1759127279999
0.20002,0.20064,0.19985,0.19987,149687,1759127339999
0.1999,0.20014,0.19947,0.19973,73918,1759127399999
0.19976,0.2005,0.19968,0.19989,216970,1759127459999
0.19989,0.20056,0.19958,0.20038,162321,1759127519999
0.20038,0.20104,0.19992,0.20049,210720,1759127579999
0.2005,0.20153,0.2001,0.20153,214707,1759127639999
0.20154,0.20208,0.20064,0.20105,543434,1759127699999
0.20102,0.2013,0.20066,0.20074,133566,1759127759999
0.20073,0.20073,0.19956,0.20011,350027,1759127819999
0.20003,0.20038,0.19988,0.2002,165570,1759127879999
0.2002,0.20053,0.2,0.20053,115116,1759127939999
0.20053,0.20169,0.20053,0.20144,168062,1759127999999
0.20143,0.2044,0.2012,0.20358,582566,1759128059999
0.20358,0.20403,0.20245,0.20393,443087,1759128119999
0.20404,0.20458,0.20379,0.20406,479712,1759128179999
0.20418,0.20556,0.20388,0.20393,688849,1759128239999
0.204,0.2095,0.20379,0.20792,1065726,1759128299999
0.20775,0.20865,0.20608,0.20649,1074038,1759128359999
0.2065,0.20948,0.20621,0.2086,758716,1759128419999
0.20862,0.20893,0.20718,0.2089,539294,1759128479999
0.20887,0.20979,0.20779,0.20802,491000,1759128539999
0.20804,0.21108,0.20762,0.21007,751668,1759128599999
0.21013,0.2106,0.20269,0.20571,2008017,1759128659999
0.20571,0.20761,0.20482,0.20494,794558,1759128719999
0.20507,0.20533,0.20391,0.20519,421168,1759128779999
0.2052,0.20545,0.20376,0.20499,423216,1759128839999
0.20486,0.20527,0.202,0.20288,767099,1759128899999
0.20296,0.20345,0.20251,0.20337,293756,1759128959999
0.20345,0.20375,0.203,0.20337,138747,1759129019999
0.20337,0.20446,0.20326,0.20441,262213,1759129079999
0.20448,0.2061,0.20448,0.20529,282053,1759129139999
0.2053,0.20535,0.20483,0.20494,182803,1759129199999
0.20494,0.20548,0.20441,0.20486,203342,1759129259999
0.20486,0.20563,0.20225,0.20312,712771,1759129319999
0.20312,0.20386,0.20219,0.20337,235316,1759129379999
0.2033,0.20365,0.20262,0.2034,245277,1759129439999
0.20335,0.20359,0.20297,0.20318,134668,1759129499999
0.20312,0.20312,0.20084,0.20123,575947,1759129559999
0.2014,0.202,0.20075,0.20155,398372,1759129619999
0.20159,0.20165,0.20057,0.20076,204649,1759129679999
0.20084,0.20095,0.20031,0.20068,211641,1759129739999
0.2006,0.20062,0.19614,0.19692,762319,1759129799999
0.19699,0.19927,0.19682,0.19879,627821,1759129859999
0.19884,0.19896,0.1975,0.19765,380099,1759129919999
0.1975,0.19837,0.19712,0.19795,282586,1759129979999
0.19796,0.19815,0.1975,0.19791,228668,1759130039999
0.19789,0.19809,0.19755,0.19767,115831,1759130099999
0.19767,0.19817,0.19661,0.19722,285533,1759130159999
0.19723,0.19819,0.19668,0.1977,263445,1759130219999
0.19776,0.19965,0.19728,0.1991,619581,1759130279999
0.1992,0.20017,0.1992,0.19993,397946,1759130339999
0.19995,0.20018,0.19932,0.19964,240951,1759130399999
0.19959,0.19959,0.1988,0.19912,125040,1759130459999
0.19909,0.19923,0.19873,0.19905,81902,1759130519999
0.19909,0.1991,0.19801,0.19822,111763,1759130579999
0.19809,0.19834,0.19776,0.19787,100754,1759130639999
0.19787,0.19825,0.1977,0.19801,82563,1759130699999
0.19795,0.19812,0.19774,0.19785,88517,1759130759999
0.1978,0.19857,0.19777,0.19829,113229,1759130819999
0.19828,0.1989,0.19815,0.19884,73499,1759130879999
0.1988,0.19919,0.19833,0.19862,187325,1759130939999
0.19857,0.19904,0.1984,0.1984,125075,1759130999999
0.1984,0.19922,0.19806,0.19881,148272,1759131059999
0.19884,0.19964,0.19863,0.19875,192936,1759131119999
0.19871,0.1989,0.19823,0.19885,143725,1759131179999
0.19876,0.1995,0.19849,0.19889,125236,1759131239999
0.19889,0.199,0.19866,0.1987,55250,1759131299999
0.19874,0.19889,0.19637,0.19725,497595,1759131359999
0.19725,0.1977,0.19552,0.19577,473106,1759131419999
0.1957,0.19623,0.19525,0.19603,356155,1759131479999
0.19603,0.19618,0.1955,0.19578,163803,1759131539999
0.19578,0.19578,0.19443,0.19502,347914,1759131599999
0.19502,0.19769,0.19476,0.19692,468934,1759131659999
0.19693,0.19852,0.19693,0.19729,275566,1759131719999
0.19733,0.19834,0.19732,0.19834,94680,1759131779999
0.19828,0.19839,0.19748,0.19755,203223,1759131839999
0.19746,0.19758,0.19693,0.19727,105794,1759131899999
0.1972,0.1972,0.19612,0.1964,198722,1759131959999
